index,position,red,green,blue,hex
0,0,158,1,66,#9e0142
1,0.0039215686274509803,160,3,67,#a00343
2,0.0078431372549019607,162,6,67,#a20643
3,0.011764705882352941,164,8,68,#a40844
4,0.015686274509803921,167,11,68,#a70b44
5,0.019607843137254902,169,13,69,#a90d45
6,0.023529411764705882,171,15,69,#ab0f45
7,0.027450980392156862,173,18,70,#ad1246
8,0.031372549019607843,175,20,70,#af1446
9,0.035294117647058823,177,23,71,#b11747
10,0.039215686274509803,180,25,71,#b41947
11,0.043137254901960784,182,27,72,#b61b48
12,0.047058823529411764,184,30,72,#b81e48
13,0.050980392156862744,186,32,73,#ba2049
14,0.054901960784313725,188,34,73,#bc2249
15,0.058823529411764705,190,37,74,#be254a
16,0.062745098039215685,193,39,74,#c1274a
17,0.066666666666666666,195,42,75,#c32a4b
18,0.070588235294117646,197,44,75,#c52c4b
19,0.074509803921568626,199,46,76,#c72e4c
20,0.078431372549019607,201,49,76,#c9314c
21,0.082352941176470587,203,51,77,#cb334d
22,0.086274509803921567,205,54,77,#cd364d
23,0.090196078431372548,208,56,78,#d0384e
24,0.094117647058823528,210,58,78,#d23a4e
25,0.098039215686274508,212,61,79,#d43d4f
26,0.10196078431372549,214,63,79,#d63f4f
27,0.10588235294117647,215,65,78,#d7414e
28,0.10980392156862745,216,67,78,#d8434e
29,0.11372549019607843,217,68,77,#d9444d
30,0.11764705882352941,218,70,77,#da464d
31,0.12156862745098039,220,72,76,#dc484c
32,0.12549019607843137,221,74,76,#dd4a4c
33,0.12941176470588237,222,76,75,#de4c4b
34,0.13333333333333333,223,78,75,#df4e4b
35,0.13725490196078433,225,80,75,#e1504b
36,0.14117647058823529,226,81,74,#e2514a
37,0.14509803921568629,227,83,74,#e3534a
38,0.14901960784313725,228,85,73,#e45549
39,0.15294117647058825,229,87,73,#e55749
40,0.15686274509803921,231,89,72,#e75948
41,0.16078431372549021,232,91,72,#e85b48
42,0.16470588235294117,233,92,71,#e95c47
43,0.16862745098039217,234,94,71,#ea5e47
44,0.17254901960784313,235,96,70,#eb6046
45,0.17647058823529413,237,98,70,#ed6246
46,0.1803921568627451,238,100,69,#ee6445
47,0.18431372549019609,239,102,69,#ef6645
48,0.18823529411764706,240,103,68,#f06744
49,0.19215686274509805,242,105,68,#f26944
50,0.19607843137254902,243,107,67,#f36b43
51,0.20000000000000001,244,109,67,#f46d43
52,0.20392156862745098,244,112,68,#f47044
53,0.20784313725490197,245,114,69,#f57245
54,0.21176470588235294,245,117,71,#f57547
55,0.21568627450980393,245,119,72,#f57748
56,0.2196078431372549,246,122,73,#f67a49
57,0.22352941176470589,246,124,74,#f67c4a
58,0.22745098039215686,246,127,75,#f67f4b
59,0.23137254901960785,247,129,76,#f7814c
60,0.23529411764705882,247,132,78,#f7844e
61,0.23921568627450981,248,134,79,#f8864f
62,0.24313725490196078,248,137,80,#f88950
63,0.24705882352941178,248,140,81,#f88c51
